0,1,2,3,4
Phylum CHORDATA,Unnamed: 1,,,
Clase CHONDRICHTHYES,,,,
Order LAMNIFORMES,,,,
Family Lamnidae,,,,
"Carcharodon carcharias (Linnaeus,1758)",,,,
Order CARCHARHINIFORMES,,,,
Family Carcharhinidae,,,,
"Carcharhinus albimarginatus (Riippell, 1837)",,,,
"Carcharhinus galapagensis (Snodgrass & Heller,",1905),,,
"Carcharhinus leucas (Miller & Henle, 1839)",,,,
"Carcharhinus limbatus (Miller & Henle, 1839)",,,,
"Galeocerdo cuvier (Péron & Lesueur, 1822)",,,,
"Triaenodon obesus (Rippell, 1837)",,,,
Family Sphyrnidae,,,,
"Sphyrna lewini (Griffith & Smith, 1834)",,,,
Order MYLIOBATIFORMES,,,,
Family Dasyatidae,,,,
"Dasyatis dipterura (Jordan & Gilbert, 1880)",,,,
"Dasyatis longa (Garman, 1880)",,,,
Family Myliobatidae,,,,
"Aetobatus narinari (Euphrasen, 1790)",,,,
"Manta birostris (Walbaum, 1792)",,,,
"Mobula tarapacana (Philippi, 1892)",,,,
Order ECHINORHINIFORMES,,,,
Family Echinorhinidae,,,,
"Echinorhinus cookei Pietschmann, 1928",Unnamed: 1,,,
Order TORPEDINIFORMES,,,,
Family Narcinidae,,,,
"Narcine entemedor Jordan & Starks, 1895",,,,
Clase ACTINOPTERYGII,,,,
Order ANGUILLIFORMES,,,,
Family Muraenidae,,,,
"Anarchias galapagensis (Seale, 1940)",,,,
"Echidna nebulosa (Ahl, 1789)",,,,
"Echidna nocturna (Cope, 1872)",,,,
"Enchelycore octaviana (Myers & Wade, 1941)",,,,
"Gymnomuraena zebra (Shaw, 1797)",,,,
"Gymnothorax castaneus (Jordan & Gilbert, 1883)",,,,
"Gymnothorax dovii (Giinther, 1870)",,,,
"Gymnothorax flavimarginatus (Riippell, 1830)",,,,
"Gymnothorax panamensis (Steindachner, 1876)",,,,
"Gymnothorax pictus (Ahl, 1789)",,,,
"Gymnothorax undulatus (Lacepéde, 1803)",,,,
"Muraena argus (Steindachner, 1870)",,,,
"Muraena clepsydra Gilbert, 1898",,,,
"Muraena lentiginosa Jenyns, 1842",,,,
"Uropterygius macrocephalus (Bleeker, 1864)",,,,
"Uropterygius polystictus Myers & Wade, 1941",,,,
"Uropterygius versutus Bussing, 1991",,,,
"Scuticaria tigrina (Lesson, 1828)",,,,
Family Ophichthidae,,,,
"Ichthyapus selachops (Jordan & Gilbert, 1882)",,,,
"Myrichthys pantostigmius Jordan & McGregor,",1898.0,,,
"Paraletharchus opercularis (Myers & Wade, 1941)",Unnamed: 1,,,
Family Congridae,,,,
"Ariosoma gilberti (Ogilby, 1898)",,,,
"Heteroconger digueti (Pellegrin, 1923)",,,,
"Paraconger californiensis Kanazawa, 1961",,,,
"Paraconger similis (Wade, 1946)",,,,
Order AULOPIFORMES,,,,
Family Synodontidae,,,,
"Synodus lacertinus Gilbert, 1890",,,,
Order OPHIDITFORMES,,,,
Family Ophidiidae,,,,
"Brotula ordwayi Hildebrand & Barton, 1949",,,,
Family Bythitidae,,,,
"Grammonus diagrammus (Heller & Snodgrass,",1903),,,
Order LOPHITFORMES,,,,
Family Antennariidae,,,,
"Antennarius commerson (Lacepéde, 1798)",,,,
"Antennarius sanguineus (Gill, 1863)",,,,
"Antennatus strigatus (Gill, 1863)",,,,
Order MUGILIFORMES,,,,
Family Mugilidae,,,,
"Chaenomugil proboscideus (Ginther, 1861)",,,,
"Mugil curema Valenciennes, 1836",,,,
"Mugil setosus Gilbert, 1892",,,,
"Xenomugil thoburni (Jordan & Starks, 1896)",,,,
Order ATHERINIFORMES,,,,
Family Atherinopsidae,,,,
"Atherinella eriarcha Jordan & Gilbert, 1882",,,,
Order BELONIFORMES,Unnamed: 1,,,
Family Belonidae,,,,
"Tylosurus crocodilus fodiator Jordan & Gilbert,",1882.0,,,
"Tylosurus acus melanotus (Bleeker, 1850)",,,,
"Tylosurus pacificus (Steindachner, 1876)",,,,
Order BERYCIFORMES,,,,
Family Holocentridae,,,,
"Myripristis berndti Jordan & Evermann, 1903",,,,
"Myripristis clarionensis Gilbert, 1897",,,,
"Neoniphon suborbitalis (Gill, 1863)",,,,
"Myripristis leiognathus Valenciennes, 1846",,,,
"Plectrypops lima (Valenciennes, 1831)",,,,
Order GASTEROSTEIFORMES,,,,
Family Syngnathidae,,,,
Bryx veleronis Herald 1940,,,,
