Unnamed: 0,n,TL,TW,n.1,TL.1,TW.1,n.2,TL.2,TW.2,n.3,TL.3,Tw,n.4,TL.4,TW.3,n TL
1 Atherina boyeri,,,,,,,,,,,,,,,,
2 Blennidae,,,,,,,,,,1.0,,,,7.1,18.0,
3 Callinectes marginatus,,,,,,,,,,,,,,,,
4 Citharichthys stampfilii,,,,,,,,,,,,,,,,
5 Coptodon guineensis,,,,1.0,12.7,37.0,1.0,12.1,28.0,,,,,,,
6 Cynoglossus senegalensis,,,,,,,,,,,,,,,,
7 Cynoponticus ferox,,,,,,,,,,,,,,,,
8 Dasyatis margarita,,,,,,,,,,,,,,,,"1 l: 21,1 ;L :22,2"
9 Dicentrarchus punctatus,23.0,12.1,418.0,2.0,10.8,20.0,,,,,,,23.0,7.82,304.0,
10 Diplodus bellottii,,,,,,,,,,,,,,,,
11 Diplodus sargus,,,,,,,,,,,,,,,,
12 Epinephelus aeneus,,,,,,,,,,,,,,,,
13 Epinephelus guaza,,,,,,,,,,,,,,,,
14 Epinephelus marginatus,,,,,,,,,,,,,,,,
15 Epiphion guttifer,,,,,,,6.0,9.7,71.0,,,,13.0,8.2,184.0,
16 Ethmalosa fimbriata,,,,,,,,,,,,,,,,
17 Eucinotomus melanopterus,249.0,6.6,816.0,191.0,7.1,770.0,74.0,6.7,236.0,,,,35.0,6.0,102.0,42 6.5
18 Fistularia tabacaria,1.0,83.5,275.0,2.0,32.2,15.0,,,,,,,,,,
19 Glaucostegus cemiculus,,,,,,,,,,,,,,,,"1 l :39 ; L:12,5"
20 Gobidae spp.,,,,18.0,8.1,114.0,7.0,8.2,19.0,,,,,,,
21 Halobatrachus didactylus,,,,14.0,10.6,304.0,11.0,9.3,143.0,,,,14.0,10.8,380.0,
22 Hippocampus sp.,,,,,,,,,,,,,,,,
23 Hippolyte inermis,,,,,,,,,,,,,1.0,1.8,1.0,
24 Liza dumerilii,84.0,9.2,683.0,1.0,15.4,35.0,44.0,5.5,68.0,172.0,5.0,367.0,,,,17 12.8
25 Liza aurata,,,,5.0,11.5,68.0,,,,,,,,,,
26 Liza ramada,2.0,10.3,15.0,,,,,,,,,,,,,
27 Lutjanus dentatus,,,,,,,,,,,,,,,,
28 Lutjanus goreensis,,,,2.0,10.2,29.0,,,,,,,,,,
29 Lythognathus mormyrus,,,,,,,,,,,,,7.0,3.3,14.0,
30 Mugil capurii,1.0,10.8,13.0,2.0,10.7,26.0,2.0,6.9,11.0,,,,1.0,2.8,1.0,
31 Nicholsina usta,,,,,,,,,,,,,,,,
32 Pagellus bellottii,,,,,,,,,,,,,,,,
33 Palaemon elegans,,,,,,,,,,,,,,,,
34 Pegusa lascaris,,,,3.0,12.2,39.0,,,,,,,,,,
35 Pegusa triophthalma,,,,,,,,,,,,,,,,
36 Penaeus spp.,,,,5.0,6.2,5.0,12.0,6.7,6.0,,,,9.0,5.6,11.0,2 5.5
37 Pomadasys incisus,38.0,8.2,247.0,9.0,8.9,76.0,33.0,8.18,101.0,,,,,,,
38 Pomadasys rogerii,1.0,8.0,3.0,12.0,8.6,79.0,,,,,,,,,,
39 Psettodes belcheri,,,,,,,,,,,,,,,,
40 Rhinobatos rhinobatoss,,,,,,,,,,,,,,,,
41 Rypticus saponaceus,,,,,,,,,,,,,,,,
42 Sepia officinalis,,,,1.0,17.5,126.0,,,,,,,,,,
43 Serranus scriba,,,,3.0,12.9,88.0,,,,,,,,,,
44 Sicyonia carinata,,,,,,,2.0,7.8,7.0,,,,3.0,6.3,7.0,
45 Solea senegalensis,13.0,9.8,132.0,,,,,,,,,,1.0,14.2,26.0,
46 Sphoeroides spengleri,1.0,8.8,13.0,13.0,9.1,127.0,16.0,10.8,212.0,,,,58.0,10.3,1267.0,
47 Spondyliosoma cantharus,,,,,,,,,,,,,,,,
48 Stephanolepsis hispidus,,,,71.0,5.7,347.0,10.0,4.0,24.0,,,,17.0,4.5,32.0,
49 Symphodus bailloni,,,,,,,,,,,,,,,,
50 Symphodus cinereus,,,,2.0,9.5,24.0,,,,,,,,,,
51 Symphodus tinca,,,,,,,,,,,,,,,,
52 Synaptura lusitanica,,,,,,,,,,,,,,,,
53 Syngnathus spp.,,,,,,,,,,,,,3.0,12.7,8.0,
