Unnamed: 0,n,TL,TW,n TL,Unnamed: 5,TW.1,n.1,TL.1,TW.2
1 Atherina boyeri,,,,,,,,,
2 Blennidae,,,,,,,,,
3 Callinectes marginatus,,,,,,,,,
4 Citharichthys stampfilii,,,,,,,,,
5 Coptodon guineensis,,,,,,,8.0,18.8,1260.0
6 Cynoglossus senegalensis,,,,,,,,,
7 Cynoponticus ferox,,,,,,,,,
8 Dasyatis margarita,,,,"5 l: 18,2; L:20,2",,2053.0,,,
9 Dicentrarchus punctatus,,,,27 5.3,,48.0,,,
10 Diplodus bellottii,,,,,,,,,
11 Diplodus sargus,,,,4 8,,193.0,68.0,6.1,271.0
12 Epinephelus aeneus,,,,,,,,,
13 Epinephelus guaza,,,,,,,,,
14 Epinephelus marginatus,,,,,,,,,
15 Epiphion guttifer,,,,,,,8.0,13.2,575.0
16 Ethmalosa fimbriata,,,,,,,,,
17 Eucinotomus melanopterus,,,,,,,,,
18 Fistularia tabaccaria,,,,,,,,,
19 Glaucostegus cemiculus,,,,,,,,,
20 Gobidae spp.,,,,,,,,,
21 Halobatrachus didactylus,,,,,,,16.0,14.5,1158.0
22 Hippocampus sp.,,,,,,,,,
23 Hippolyte inermis,,,,,,,,,
24 Liza aurata,,,,9 8.8,,63.0,,,
25 Liza dumerilii,1.0,7.7,11.0,7 4.6,,9.0,,,
26 Liza ramada,,,,,,,,,
27 Lutjanus goreensis,,,,,,,,,
28 Lutjanus dentatus,,,,,,,,,
29 Lythognathus mormyrus,,,,,,,,,
30 Mugil capurii,338.0,6.41,745.0,39 6.3,,89.0,10.0,5.5,14.0
31 Nicholsina usta,,,,,,,,,
32 Pagellus bellottii,,,,,,,,,
33 Palaemon elegans,,,,,,,,,
34 Pegusa lascaris,,,,,,,,,
35 Pegusa triophthalma,,,,,,,,,
36 Penaeus spp.,1.0,4.5,1.0,,,,,,
37 Pomadasys incisus,,,,28 6.1,,71.0,,,
38 Pomadasys rogerii,,,,,,,,,
39 Psettodes belcheri,,,,2 20.1,,228.0,,,
40 Rhinobatos rhinobatos,,,,"1 l:32 ; L:13,5",,,,,
41 Rypticus saponaceus,,,,,,,,,
42 Sepia officinalis,,,,,,,11.0,11.87,460.0
43 Serranus scriba,,,,,,,7.0,19.2,1667.0
44 Sicyonia carinata,,,,,,,,,
45 Solea senegalensis,,,,5 10.8,,86.0,,,
46 Sphaeroides spengleri,,,,,,,93.0,11.0,1913.0
47 Spondyliosoma cantharus,,,,,,,57.0,4.8,87.0
48 Stephanolepsis hispidus,,,,,,,110.0,10.5,2188.0
49 Symphodus bailloni,,,,,,,36.0,6.6,149.0
50 Symphodus cinereus,,,,,,,,,
51 Symphodus tinca,,,,,,,,,
52 Synaptura lusitanica,3.0,6.7,12.0,4 5.4,,2.0,,,
53 Syngnathus spp.,,,,,,,11.0,21.1,64.0
