Especes
Arius latisculatus
Arius heudeloti
Atherina sp.
Bathysolea polli
Boops boops
Chaetodipterus goreensis
Cynoglossus sp.* senegalensis
Dactylopterus volitans
Dagetichthys lusitanicus
Dicentrarchus punctatus
Diplodus bellottii
Diplodus sargus
Ephippion guttifer
Epinephelus sp.* aeneus
Ethmalosa fimbriata
Galeoides decadactylus
Loligo vulgaris
Mugil cephalus
Neochelon falcipinnis
Pegusa triophtalma
Pomadasys incisus
Psettodes belcheri
Pseudotolithus sp.
Rhinoptera marginata
Sardinella aurita
Sarotherodon melanotheron
Sciaena umbra
Scorpaena angolensis
Sepia officinalis
Sepia sp.
Serranus scriba
Solea senegalensis
Solea solea
Sparus sp.* qurata
Spondyliosoma cantharus
Stephanolepis hispidus
Syacium micrurum
Zanobatus schoenleinii
