Sample location,Rhinoptera marginata,Rhizoprionodon acutus,Scyliorhinus canicula,Squalus acanthias,Taeniura grabata,Torpedo sp,Zanobatus schoenleinii
Ile des Pelicans,3,21,2,18,2,0,1
Akadir,982,847,0,5365,1,1,2015
West Tidra 1,3701,1364,0,3,72,0,823
West Tidra 2,6805,147,38,50,218,0,4
Kiji,4,27,0,0,429,62,26
Idis,0,691,1,1,0,1,3
Mouzan,1,116,2,90,2,1,5
Nair,2,76,0,3,0,0,1
Belkeiznaya,1,5,4,11,0,0,1
Iwik,14,29,0,7,0,758,426
Mamghar,9,50,0,10,0,1,264
Baye St jean,11,5,0,14,0,0,7
L’oeil,5,5673,0,36,0,2,501
TOTAL,11538,9051,47,5608,724,826,4077
