Group,Common Name ,Scientific Name ,Confirmed species presence per reserve ,,,
,,,BCMR,SWCMR,GRMR,SCMR
Angelfish ,Queen angelfish,Holacanthus cilaris,x,x,x,x
,Blue angelfish ,Holacanthus bermudensis,x,x,x,x
,French angelfish,Pomacanthus paru,x,x,x,x
,Gray angelfish,Pomacanthus arcuatus,x,x,x,x
,Rock beauty,Holacanthus tricolor ,x,x,x,x
Butterflyfishes ,Banded butterfly,Chaetodon striatus ,x,x,x,x
,Foureye butterfly,Chaetodon capistratus,x,x,x,x
,Spotfin butterfly ,Chaetodon ocellatus,x,x,x,x
,Reef butterfly ,Chaetodon sedentarius ,x,x,x,x
,Longsnout butterfly ,Prognathodon aculetus ,x,x,x,x
Surgeonfishes,Blue tang,Acanthus coeruleus,x,x,x,x
,Ocean surgeonfish,Acanthus bahianus,x,x,x,x
,Doctorfish ,Acanthus chirurgus,x,x,x,x
Jacks,Bar jack,Caranx ruber,x,x,x,x
,Permit,Trachinotus falcatus,x,x,x,x
,Horse eye jack,Caranx latus,x,x,x,x
,Blue runner,Caranx crysos,x,x,x,x
,Cero,Scomberomorus regalis,x,x,x,x
Porgy,Sheephead porgy,Calamus penna,x,x,x,x
,Saucereye porgy,Calamus calamus,x,x,x,x
,Jolthead porgy,Calamus bajonado,x,x,x,x
,Pluma porgy,Calamus pennatula ,x,x,x,x
Needlefish ,Flat needlefish ,Ablennes hian ,x,x,x,x
,Houndfish ,Tylosurus crocodilus,x,x,x,x
Flyingfishes,Ballyhoo,Hemiramphus brasilensis,,,,
Baracudas ,Great barracuda,Sphyraena barracuda,x,x,x,x
,Southern Sennet,Sphyraena picudilla,,,,
Bonefish,Bonefish ,Albula vulpes,x,x,x,x
Mullet ,Mullet ,Mugil curema,x,x,x,x
Tarpon,Tarpon,Megalops atlanticus,x,x,x,x
Chub,Bermuda chub,Kyphosus sectatrix,x,x,x,x
Spadefish,Atlantic spadefish,Chaetodipterus faber,x,x,x,x
Grunt,French grunt,Haemulon flavolineatum ,x,x,x,x
,Bluestriped grunt,Haemulon sciurus,x,x,x,x
,White grunt,Haemulon plumieri,x,x,x,x
,Porkfish ,Anisotremus virginicus,x,x,x,x
,Caesar grunt,Haemulon carbonarium,x,x,x,x
,Spanish grunt,Haemulon macrostomum,x,x,x,x
,Small mouth grunt ,Haemulon chrysargyreum,x,x,x,x
,Tomtate,Haemulon aurolineatum ,x,x,x,x
,Cottonwick ,Haemulon melanurum,x,x,x,x
,Sailor choice ,Haemulon parra,x,x,x,x
,White margate,Haemulon album,x,x,x,x
,Black margate,Anisotremus surinamensis ,x,x,x,x
Snappers,Mutton snapper,Lutjanus analis,x,x,x,x
,Gray snapper,Lutjanus griseus,x,x,x,x
,Dog snapper ,Lutjanus jocu,x,x,x,x
,Lane snapper,Lutjanus synagris,x,x,x,x
,Yellowtail snapper,Ocyurus chrysurus,x,x,x,x
,Schoolmaster ,Lutjanus apodus,x,x,x,x
,Cubera snapper,Lutjanus cyanopterus,x,x,x,x
,Mahogany snapper,Lutjanus mahogoni,x,x,x,x
Damselfish ,Dusky damselfish,Stegastes fuscus,x,x,x,x
,Threespot damselfish,Stegastes planifrons,x,x,x,x
,Cocoa damselfish,Stegastes variabilis ,x,x,x,x
,Beaugregory ,Stegastes leucostictus,x,x,x,x
,Bicolor damselfish,Stegastes partitus ,x,x,x,x
,Yellowtail damselfish,Microspathodon chrysurus,x,x,x,x
,Segean major,Abudefduf saxatilis,x,x,x,x
,Brown chromis ,Chromis multilineata,x,x,x,x
,Blue chormis ,Chromis cyanea,x,x,x,x
Hamlets ,Black hamlet,Hypoplectrus Migricans,x,x,x,x
,Barred hamlet,Hypoplectrus puella,x,x,x,x
,Blue hamlet,Hypoplectrus gemma,,,,
,Butter hamlet,Hypoplectrus unicolor,,,,
,Indigo hamlet ,Hypoplectrus indigo ,,,,
Grouper,Nassau,Epinephelus striatus,x,x,x,x
,Graysby ,Cephalopholis cruentata,x,x,x,x
,Red hind,Epinephelus guttatus,x,x,x,x
,Rock hind ,Epinephelus adscensionis,x,x,x,x
,Coney ,Cephalopholis fulva,x,x,x,x
,Yellowfin grouper ,Mycteroperca venenosa,x,x,x,x
,Yellowmouth grouper,Mycteroperca interstitialis ,x,x,x,x
,Black grouper,Mycteroperca bonaci ,x,x,x,x
,Tiger grouper ,Mycteroperca tigris,x,x,x,x
,Harlequin Bass,Serranus tigrinus ,x,x,x,x
,Goliath grouper,Epinephelus itajara,x,x,x,x
,Greater soapfish ,Rypticus saponaceus ,x,x,x,x
Basslets,Fairy basslet ,Gramma loreto,x,x,x,x
,Blackcap,Gramma melacara,,,,
Blennies,Redlip,Ophioblennius atlanticus,x,x,x,x
,Saddled,Malacoctenus triangulatus,x,x,x,x
Parrotfish ,Blue parrotfish ,Scarus coeruleus,x,x,x,x
,Midnight parrotfish ,Scarus coelestinus,x,x,x,x
,Queen parrotfish ,Scarus vetula ,x,x,x,x
,Stoplight parrotfish ,Sparisoma viride,x,x,x,x
,Princess parrotfish ,Scarus taeniopterus,x,x,x,x
,Striped parrotfish ,Scarus croicensis,x,x,x,x
,Rainbow parrofish ,Scarus guacamaia,x,x,x,x
,Yellowtail parrotfish ,Sparisoma rubripinne,x,x,x,x
,Redband parrofish ,Sparisoma aurofrenatum ,x,x,x,x
,Redtail parrofish ,Sparisoma chrysopterum ,x,x,x,x
,Bucktooth parrotfish,Sparisoma radians,x,x,x,x
Wrasses,Hogfish,Lachnolaimus maximus,x,x,x,x
,Spanish hogfish ,Bodianus rufus,x,x,x,x
,Yellowhead wrasse,Halichoeres garnoti,x,x,x,x
,Bluehead wrasse,Thalassoma bifasciatum,x,x,x,x
,Slippery dick ,Halichores bivittatus,x,x,x,x
,Clown wrasse,Halichoeres masculipinna,x,x,x,x
,Rainbow wrasse,Halichoeres pictus,x,x,x,x
,Black ear wrasse,Halichoeres poeyi,x,x,x,x
,Creole wrasse,Clepticus parrae,x,x,x,x
,Puddingwife,Halichoeres raidatus,x,x,x,x
Squirrelfish,Squirrelfish,Holocentrus adscensionis,x,x,x,x
,Longspine squirrelfish ,Holocentrus rufus,,,,
,Blackbar soldier,Myripristic jacobus,,,,
,Reef squirrelfish ,Holocentrus coruscum,,,,
,Longjaw ,Holocentrus marianus ,,,,
,Dusky squirrelfish ,Holocentrus vexillarius ,,,,
Gobies ,Neon Goby,Gobiosoma oceanops,x,x,x,x
,Bridled,Coryphopterus glaucofraenum,x,x,x,x
,Colon,Coryphopterus dicrus,x,x,x,x
,Perpermint,Coryphopterus lipernes,,,,
,Pallid,Coryphopterus eidolon,,,,
