Family,Species Name,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19_ 20,21,22,23_24,25,26_27,28,29,30,31,32_33,34,35,36,LT2,37,LT3,38,LT4,39,LT5,40,41,42,43,44,45,46,47,48,49
Ginglymostomatidae,Ginglymostoma cirratum,,,,,,,,,,,,,,,,,,,r,,,,,,,,,nuc,,,,,,,,,,nuc,,,,,,r,,,,
Carcharhinidae,Carcharhinus limbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,
,Triaenodon obesus,nuc,,,,,,,,,,,r,,r,,,,c,nuc,r,,,,r,,,,,r,nuc,,r,,r,,,,r,,,r,r,,r,,,,
Narcinidae,Diplobatis ommata,,,,,,,r,,,,,,,,r,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
,Narcine entemedor,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dasyatidae,Dasyatis dipterura,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dasyatis longa,,,,,,,,,r,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myliobatidae,Aetobatus narinari,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,
,Manta birostris,,,,,,,,,,,,,,,,,,,,,,r,,,,,,r,,nuc,,,,,,,,,,,,,,,,,,
Urotrygonidae,Urobatis halleri,r,,,,,,nur,nuc,r,c,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urotrygon chilensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
Elopidae,Elops affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,
Muraenidae,Anarchias galapagensis,,,nuc,,,,,,c,c,,,c,,,,nuc,c,,,r,,,,c,c,,,,,c,,,,,,,,,,,,,,,,,
,Echidna nebulosa,,,c,,,,,,r,,,r,,,r,,,nuc,r,,,,r,r,,nuc,,r,,,,,r,,nuc,,,,r,,,,,r,,,r,
,Echidna nocturna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,r,,,,r,,,,,,,,,
,Enchelycore lichenosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,
,Enchelycore octaviana,,,,,,,,,nuc,,,,,,,,,r,,,,nuc,,r,nuc,,,nuc,,,,,,,,,,,,,r,,,,,,,
,Gymnomuraena zebra,,,nuc,,r,,r,,nuc,,,,,,r,,,r,,nuc,r,r,,,nuc,nuc,r,r,,,,,,,,,,,r,,r,,,r,,r,,
,Gymnothorax buroensis,,,,,,,,,,,,,,,,c,,,,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gymnothorax castaneus,r,nuc,,r,nuc,c,c,c,c,c,,r,,,c,r,,c,nuc,nuc,,,,nuc,nuc,nuc,c,nuc,nuc,nuc,r,,,,,,,nuc,nuc,nuc,r,,,,,nuc,c,
,Gymnothorax dovii,,,,,nuc,,c,,nuc,,,,nuc,r,r,r,,nuc,,,,,,,,,c,r,,,,,c,,c,r,r,r,nuc,nuc,,,,,,,nuc,
,Gymnothorax flavimarginatus,,,,,,,r,,r,,,r,r,,,,,r,,,,r,,,,,,,,,,,,nuc,,r,,,,,,,,,,r,nuc,
,Gymnothorax javanicus,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,
