FAMILIA ESPECIE,Unnamed: 1,CX,YU,SC,EB,GO,IC,PM,PR,PO,RA,AC,FAMILIA,ESPECIE,R,E B
CHONDRICHTHYES,,,,,,,,,,,,,,,,
SELACHIMORPHA,,,,,,,,,,,,,,,,
Carcharinidae Carcharinus leucas,,X,X,X,X,,,,,,,,,,,
C.  limbatus,,,X,,X,,,,,,,,,,,
Haemigalidae Triaenodon obesus,,,,,X,,,,,,,,,,,
Ginglymostomatidae Ginglymostoma,,,,,,,,,,,,,,,,
,,,X,,,X,,,,,,,,,,
cirratum,,,,,,,,,,,,,,,,
BATOIDIMORPHA,,,,,,,,,,,,,,,,
Dasyatididae Dasyatis longus,,,,,,,,,,,,X,,,,
Narcinidae Diplobates ommata,,,,,,,,,,,,X,,,,
Narcine entemedor,,,,,,,,,,,,X,,,,
Rhinobatidae Rhinobatos productus,,,,,,,,,,,,X,,,,
Urolophidae Urobatis halleri,,,,,,X,,,,,,,,,,
Urotrigon Chilensis,,,,,,,,,,,,X,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OSTEICHTHYES,,,,,,,,,,,,,,,,
Acanthuridae Acanthurus,,X,,,X,X,,,,,,,,,,
xanthopterus,,,,,,,,,,,,,,,,
A. nigricans,,,,,X,X,,,,,,,,,,
A. triostegus,,,,,X,X,,,,,,,,,,
Prionurus laticlavius,,,,,X,X,,,,,,,,,,
Achiridae Achirus mazatlanus,,,,,,,,,,,,X,,,,
Antennariidae Antennarius sanguineus,,,,,,,,X,,,,,,,,
Antennatus strigatus,,,,,,,,X,,,,,,,,
Apogonidae Apogon dovii,,,,,X,X,,X,,,,,,,,
Ariidae Selenaspis dowii,,X,X,X,,,,,,,,,,,,
Atherinidae Membras gilberti,,,,,X,,,,,,,,,,,
Aulostomidae Aulostomus chinensis,,,,,X,,,,,,,,,,,
Balistidae Balistes polylepis,,,,,,,,X,,,,X,,,,
Psudobalistes,,,,,,,,,,,,,,,,
,,,,,X,X,,X,,,,,,,,
naufragium,,,,,,,,,,,,,,,,
Sufflamen verres,,,,,,X,,,,,,,,,,
Especie a,,,,,,X,,,,,,,,,,
Batrachoididae Daector reticulata,,,,,,,,,,,,X,,,,
Belonidae Tylosurus croccodrilus,,,,,X,,,,,,,,,,,
Ablennes hians,,,,,X,,,,,,,,,,,
Blenniidae Plagiotremus azaleus,,,,,X,X,,X,,,,,,,,
Ophioblennius,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,
steindachneri,,,,,,,,,,,,,,,,
Carangidae Alectis ciliaris,,X,X,,X,,,,,,,,,,,
Caranx caballus,,X,X,,X,,,,,,,,,,,
C. caninus,,X,X,X,X,,,,,,,,,,,
C. melampygus,,X,X,,X,X,,,,,,,,,,
C.  otrynter,,,,,,,,,,,,X,,,,
C.  sexfasciatus,,X,X,X,X,X,,,,,,,,,,
C.  speciosus,,X,,X,X,,,,,,,X,,,,
Decapterus macarellus,,,,,X,,,,,,,,,,,
,,,,X,,,,,,,,,Carangidae,Oligoplites altus,,
,,X,,,X,,,,,,,,,Elagatis bipinnulata,,
,,,X,,,,,,,,,,,Selene brevoortii,,
,,X,X,,X,,,,,,,,,Trachinotus rhodopus,,
,,,,,X,,,,,,,,,Uraspis helvola,,
,,,,,,,,X,,,,,Carapidae,Echeliophis dubius,,
,,X,X,,X,,,,,,,,Chanidae,Chanos chanos,,
,,X,X,X,,,,,,,,,Centropomidae,Centropomus medius,,
,,X,X,X,,,,,,,,,,C. nigrescens,,
,,,,,,,,X,,,,,Chaenopsidae,Chaenopsis alepidota,,
,,,,,,,,,,,,,Chaetodontida,Chaetodon humeralis,,
,,,,,X,X,,X,,,,,,,,
,,,,,,,,,,,,,e,,,
,,,,,,,,,,,,,,Johnrandallia,,
,,,,,X,X,,,,,,,,,,
,,,,,,,,,,,,,,nigrirostris,,
,,,,,,,,,,,,,Cirrhitidae,Cirrhitichthys,,
,,,,,X,,,X,,,,,,,,
,,,,,,,,,,,,,,oxycephalus,,
