0
Ginglymostomatidae
Cinglymostorna cirratum
Rhincodontidae
Rhincodon typus
Lamnidae
Carcharoclon carcharins
fsurus oxyrinchus
Carcharhinidae
Carcharlzinus leucas
Carcharhinus lirnbatus
Carcharhinus plumbeus
Galeocerdo cuvier
Negapriorz brevirostris
Rhizoprionodon terraenovae
Sphyrnidae
Sphyrna lewini
Sphyrna mokarran
Sp1zynza t ihu~o
Pristidae
Pristis pectinata
Rhinobatidae
Khirzobatos lentiginosus
Torpedinidae
Narcine brasilierzsis
Rajidae
Raja laevis
Dasyatidae
Dasyatis americana
Dasyatis sabina
Gymrzurn micrura
Myliobatidae
Aetobatus narinari
Rhinoptera bonasus
Mobulidae
Manta birostris
Lepisosteidae
Lepisosteus platyhincus
Amiidae
Amia calva
Elopidae
Elops saurus
Megalops atlanticus
Alhulidae
Albula vulpes
Anguillidae
Anguilla rostrata
Muraenidae
Gynznothorax moringa
Gyrnnothorax nigromarginatus
Ophichthidae
Ahlia egmorztis
Bascanichthys bascarziurn
Bascanichthys scuticaris
Myrophis punctatus
Ophicthus gornesi
Clupeidae
Brevoortia patronus
Bret~oor-tias mithi
B. patronus x B. snzitlzi
Dorosoma petenense
Harengula humeralis
Harengula jaguana
Jenkinsia lamprotaenia
Opisthonema oglinum
Sardinella aurita
Sarinella brasiliensis
Engraulidae
Anchoa cubana
Anchoa hepsetus
Anchoa lamprotaenia
Anchoa mitchilli
Arzchoviella pe$asciata
Cyprinidae
Notemigonus crysoleucas
Notropis maculatus
Notropis petersoni
Catostomidae
Erimyzon sucetta
Ictaluridae
Ameiurus natalis
Ameiurus nebulosus
Ictalurus punctatus
Noturus gyrinus
Clariidae
Clarias batrackus ( I )
Ariidae
Arius felis
Bagre marinus
Esocidae
Esox niger
Synodontidae
Synodus foetens
Trachinocephalus myops
Ophidiidae
Ophidion grayi
Ophidion holbrooki
Ophidion welshi
By thitidae
Gunterichthys longipenis
Ogilbia cayorum
Batrachoididae
Opsanus beta
Porichthys plectrodon
Antennariidae
Histrio histrio
Ogcocephalidae
Ogcocephalus nastutus
Ogcocephalus radiatus
Gobiesociade
Gobiesox strumosus
Exocoetidae
Chriodorus atherinoides
Hemirarnphus balao
Hernirarnphus brasiliensis
Hyporhamphus unifasciatus
Prognichthys gibbifrons
Belonidae
Strongylura marina
Strongylura notata
Strongylura timucu
Tylosurus crocodilus
Apiocheilidae
Rivulus marmoratus
Cyprinodontidae
Cyprinodon variegatus
Floridichthys carpio
Jordanella floridae
Fundulidae
Adinia xenica
Fuizdulus chi-ysotus
Fundulus confluentus
Fundulus graizdis
Fundulus seminolis
Fundulus similis
Lucania goodei
Lucaizia parva
Poeciliidae
Beloizesox belizanus ( I )
Gainbusia holbrooki
Gambusia rhizophorae
Heterandria formosa
Poecilia latipinna
Atherinidae
Atherinomorus stipes
Hypoatherina harringtonensis
Labidesthes sicculus
Membras martinica
Menidia berylliiza
Menidia peninsulae
Syngnathidae
Anarchopterus criniger
Bryx dunckeri
Cosrnocampus albirostris
Hippocampus erectus
Hippocampus zosterae
Micrognathus crinitus
Syngnathus floridae
Syngnatltus louisianae
Syngnathus scovelli
Scorpaenidae
Scorpaena albifimbria
Scorpaena brasiliensis
Triglidae
Bellator egretta
Prionutus ribo
Prionotus scitulus
Prionotus tribulus
Centropomidae
Centropornus parallelus
Centropomus pectinatus
Centropomus undecimalis
Senanidae
Centropristis striata
