"";"Name quoted";"Valide Name";"Simplified group";"Kingdom";"Class";"Order";"Family";"CD_NOM";"Date of the last observation"
"";"Acacia mearnsii De Wild., 1925";"Acacia mearnsii De Wild., 1925";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"79700";"19-05-2019"
"";"Acanthella acuta Schmidt, 1862";"Acanthella acuta Schmidt, 1862";"Autres";"Animalia";"Demospongiae";"Bubarida";"Dictyonellidae";"71119";"02-09-2018"
"";"Acanthinula aculeata (O.F. Müller, 1774)";"Acanthinula aculeata (O.F. Müller, 1774)";"Escargots et autres mollusques";"Animalia";"Gastropoda";"Stylommatophora";"Valloniidae";"162964";"31-12-1995"
"";"Acanthus mollis L., 1753";"Acanthus mollis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Acanthaceae";"79721";"04-07-2019"
"";"Accipiter gentilis (Linnaeus, 1758)";"Accipiter gentilis (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Accipitriformes";"Accipitridae";"2891";"16-04-2016"
"";"Acetabularia acetabulum (L.) P.C.Silva, 1952";"Acetabularia acetabulum (L.) P.C.Silva, 1952";"Plantes, mousses et fougères";"Plantae";"Ulvophyceae";"Dasycladales";"Polyphysaceae";"372244";"02-08-2019"
"";"Acis longifolia J.Gay ex M.Roem., 1847";"Acis longifolia J.Gay ex M.Roem., 1847";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"80000";"30-04-2017"
"";"Leucojum longifolium (J.Gay ex M.Roem.) Gren., 1855";"Acis longifolia J.Gay ex M.Roem., 1847";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"105835";"10-05-2011"
"";"Acis rosea (F.Martin) Sweet, 1829";"Acis rosea (F.Martin) Sweet, 1829";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"80003";"19-10-2018"
"";"Leucojum roseum F.Martin, 1804";"Acis rosea (F.Martin) Sweet, 1829";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"105838";"01-11-2012"
