ID,Full_Name,Genus,Species,Genus_species,NC
1,"Rhinochimaera pacifica (Mitsukuri, 1895) ",Rhinochimaera,pacifica,Rhinochimaera pacifica,Present
2,"Chimaera lignaria Didier, 2002 ",Chimaera,lignaria,Chimaera lignaria,Present
3,"Chimaera phantasma Jordan & Snyder, 1900 ",Chimaera,phantasma,Chimaera phantasma,Present
4,"Hydrolagus trolli Didier & Séret, 2002 ",Hydrolagus,trolli,Hydrolagus trolli,Present
5,"Stegostoma fasciatum (Hermann [ex Seba], 1783) ",Stegostoma,fasciatum,Stegostoma fasciatum,Present
6,"Nebrius ferrugineus (Lesson, 1831) ",Nebrius,ferrugineus,Nebrius ferrugineus,Present
7,"Rhincodon typus Smith, 1828 ",Rhincodon,typus,Rhincodon typus,Present
8,"Odontaspis noronhai (Maul, 1955) ",Odontaspis,noronhai,Odontaspis noronhai,Present
9,"Pseudocarcharias kamoharai (Matsubara, 1936) ",Pseudocarcharias,kamoharai,Pseudocarcharias kamoharai,Present
10,"Alopias pelagicus Nakamura, 1935 ",Alopias,pelagicus,Alopias pelagicus,Present
11,"Alopias superciliosus (Lowe, 1841) ",Alopias,superciliosus,Alopias superciliosus,Present
12,"Alopias vulpinus (Bonnaterre, 1788) ",Alopias,vulpinus,Alopias vulpinus,Present
13,"Carcharodon carcharias (Linnaeus, 1758) ",Carcharodon,carcharias,Carcharodon carcharias,Present
14,"Isurus oxyrinchus Rafinesque-Schmaltz, 1810 ",Isurus,oxyrinchus,Isurus oxyrinchus,Present
15,"Isurus paucus Guitart Manday, 1966 ",Isurus,paucus,Isurus paucus,Present
16,"Apristurus albisoma Nakaya & Séret, 1999 ",Apristurus,albisoma,Apristurus albisoma,Endemic
17,"Asymbolus galacticus Séret & Last, 2008 ",Asymbolus,galacticus,Asymbolus galacticus,Endemic
18,"Aulohalaelurus kanakorum Séret, 1990 ",Aulohalaelurus,kanakorum,Aulohalaelurus kanakorum,Endemic
19,"Galeus priapus Séret & Last, 2008 ",Galeus,priapus,Galeus priapus,Present
20,"Hemitriakis japanica (Müller & Henle, 1839) ",Hemitriakis,japanica,Hemitriakis japanica,Present
21,"Mustelus manazo Bleeker, 1854 ",Mustelus,manazo,Mustelus manazo,Present
22,"Carcharhinus albimarginatus (Rüppell, 1837) ",Carcharhinus,albimarginatus,Carcharhinus albimarginatus,Present
23,"Carcharhinus amblyrhynchos (Bleeker, 1856) ",Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,Present
24,"Carcharhinus brevipinna (Müller & Henle, 1839) ",Carcharhinus,brevipinna,Carcharhinus brevipinna,Present
25,"Carcharhinus falciformis (Bibron in Müller & Henle, 1839) ",Carcharhinus,falciformis,Carcharhinus falciformis,Present
26,"Carcharhinus leucas (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,leucas,Carcharhinus leucas,Present
27,"Carcharhinus limbatus (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,limbatus,Carcharhinus limbatus,Present
28,"Carcharhinus longimanus (Poey, 1861) ",Carcharhinus,longimanus,Carcharhinus longimanus,Present
29,"Carcharhinus melanopterus (Quoy & Gaimard, 1824) ",Carcharhinus,melanopterus,Carcharhinus melanopterus,Present
30,"Carcharhinus obscurus (LeSueur, 1818) ",Carcharhinus,obscurus,Carcharhinus obscurus,Present
31,"Carcharhinus plumbeus (Nardo, 1827) ",Carcharhinus,plumbeus,Carcharhinus plumbeus,Present
32,"Carcharhinus sorrah (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,sorrah,Carcharhinus sorrah,Present
