Family,Species,Common name,Abundance
Acanthuridae,Acanthurus triostegus,Convict surgeonfish,7
Acanthuridae,Prionurus microlepidotus,Sawtail surgeonfish,3
Apogonidae,Apogon doederleini,Four-line cardinalfish,3
Apogonidae,Apogon norfolcensis,Norfolk cardinalfish,80
Atherinidae,Atherinomorus sp.,Hardyhead,84
Blenniidae,Cirripectes alboapicalis,Blenny,1
Blenniidae,Cirripectes castaneus,Chestnut blenny,5
Blenniidae,Cirripectes chelomatus,Blenny,8
Blenniidae,Cirripectes sp.,Blenny,1
Blenniidae,Plagiotremus tapeinosoma,Hit and run blenny,3
Carangidae,Carangoides ferdau,Blue trevally,2
Chaetodontidae,Chaetodon auriga,Threadfin butterflyfish,1
Chaetodontidae,Chaetodon flavirostris,Dusky butterflyfish,1
Cheilodactylidae,Cheilodactylus vestitus,Crested morwong,1
Gobiesocidae,Gobiesocidae sp.,Clingfish,1
Gobiidae,Amblygobius phalaena,Dusky barred goby,2
Gobiidae,Eviota guttata,Whitestriped pygmygoby,3
Gobiidae,Eviota hoesei,Doug's Eviota,10
Gobiidae,Eviota sp.,Dwarf goby,4
Gobiidae,Favonigobius lentiginosus,Eastern long finned goby,1
Gobiidae,Istigobius decoratus,Decorated Sandgoby,6
Kuhliidae,Kuhlia mugil,Barred flagtail,5
Kyphosidae,Girella cyanea,Blue drummer,191
Labracoglossidae,Bathystethus cultratus,Grey Knifefish,46
Labridae,Anampses elegans,Elegans wrasse,1
Labridae,Cheilio inermis,Cigar wrasse,4
Labridae,Coris bulbifrons,Double-header,7
Labridae,Halichoeres margaritaceus,Pearly wrasse,17
Labridae,Halichoeres nebulosus,Clouded wrasse,1
Labridae,Halichoeres trimaculatus,Three-spot wrasse,12
Labridae,Pseudolabrus luculentus,Luculentus wrasse,30
Labridae,Stethojulis bandanensis,Red-spot wrasse,53
Labridae,Stethojulis interrupta,Cut-ribbon wrasse,4
Labridae,Stethojulis strigiventer,Three-ribbon wrasse,15
Labridae,Thalassoma amblycephalum,Two-tone wrasse,21
Labridae,Thalassoma jansenii,Jansens wrasse,4
Labridae,Thalassoma lunare,Moon wrasse,2
Labridae,Thalassoma lutescens,Green moon wrasse,9
Labridae,Thalassoma purpureum,Surge wrasse,3
Labridae,Thalassoma trilobatum,Ladder Wrasse,6
Mugilidae,Myxus elongatus,Sand mullet,69
Mullidae,Parupeneus ciliatus,Diamond-scale goatfish,2
Mullidae,Parupeneus spilurus,Black-spotted goatfish,23
Muraenidae,Gymnothorax annasona,Lord Howe moray,2
Muraenidae,Gymnothorax flavimarginatus,Yellowmargin moray,6
Muraenidae,Gymnothorax thrysoideus,Greyface moray,1
Pomacentridae,Abudefduf sexfasciatus,Scissor tail sergeant,41
Pomacentridae,Abudefduf sordidus,Blackspot sergeant,22
Pomacentridae,Abudefduf vaigiensis,Sergeant major,28
Pomacentridae,Amphiprion mccullochi,McCulloch's anemonefish,8
Pomacentridae,Chromis hypsilepis,One-spot puller,2
Pomacentridae,Neoglyphidodon polyacanthus,Multi-spined damsel,130
Pomacentridae,Parma polylepis,Banded parma,80
Pomacentridae,Plectroglyphidodon leucozonus,White-band damsel,1
Pomacentridae,Stegastes fasciolatus,Pacific gregory,85
Pomacentridae,Stegastes gascoynei,Gold-belly gregory,5
Scaridae,Chlorurus sordidus,Daisy parrotfish,1
Scaridae,Leptoscarus vaigiensis,Marbled parrotfish,4
Scaridae,Scarus flavipectoralis,Yellowfin Parrotfish,4
Scorpaenidae,Scorpaena cardinalis,Red rock cod,1
Scorpididae,Microcanthus strigatus,Stripey,9
Serranidae,Acanthistius cinctus,Yellow-banded wirrah,3
Serranidae,Epinephelus daemelii,Black rockcod,1
Serranidae,Trachypoma macracanthus,Strawberry cod,5
Tripterygiidae,Enneapterygius howensis,Lord Howe Threefin,28
