Odontaspididae,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Odontaspis ferox (Risso,",1810),,,+,
Lamnidae,,,,,
"Carcharodon carcharias (Linnaeus,",,1758),,+,
Triakidae,,,,,
"Mustelus lenticulatus Phillipps,",,1932,,,
Carcharhinidae,,,,,
"Carcharhinus amblyrhynchos (Bleeker,",,1856),,+,+
"Carcharhinus galapagensis (Snodgrass & Heller,",,,,,+
1905),,,,,
"Carcharhinus plumbeus (Nardo,",,1827),,+,
"Galeocerdo cuvier (peron & Le Sueur,",,1822),,+,+
Sphyrnidae,,,,,
"Sphyrna zygaena (Linnaeus,",1758),,,+,
Dasyatididae,,,,,
"Dasyatis brevicaudata (Hutton,",,1875),,+,
"Dasyatis thetidis Waite, 1899",,,,+,+
"Taeniura meyeni (Muller & Henle,",,1841),,+,+
Urolophidae,,,,,
Urolophus sp.,,,,,
Myliobatididae,,,,,
"Myliobatis tenuicaudatus Hector,",,1877,,,
Albulidae,,,,,
"Albula neoguinaica Valenciennes,",,1846,,+,+
Muraenidae,,,,,
Anarchias sp.,,,,+,+
"Echidna nebulosa (AhI, 1789)",,,,+,+
"Enchelycoreramosus (Griffin,",1926),,,+,+
"Gymnothorax annasona (Whitley,",,1937),,,+
"Gymnothorax australicola Lavenberg,",,1992,,,+
"Gymnothorax chilospilus Bleeker,",,1865,,+,+
"Gymnothorax eurostus (Abbott,",,1860),,+,+
"Gymnothorax griffini Whitley & Phillipps,",,1939,,,
"Gymnothorax meleagris (Shaw & Nodder,",,1795),,+,+
"Gymnothorax nubilus (Richardson,",,1848),,,+
"Gymnothorax obesus (Whitley,",,1932),,+,
"Gymnothorax porphyreus (Guichenot,",,1848),,,+
Gymnothorax sp. A,,,,,+
Gvmnothorax sp---JI,,,,,+
Gymnothorax sp. C,,,,,+
"Siderea picta (Ahl, 1789)",,,,+,
Ophichthidae,,,,,
"Callechelys catostomus (Forster,",,1801),,+,+
"Callechelys marmoratus (Bleeker,",,1853),,+,+
"Leiuranus semicinctus (Lay & Bennett,",,1839),,+,+
"Leiuranus versicolor (Richardson,",,1848),,+,+
"Malvoliophis pinguis (Giinther,",,1872),,+,+
