"Bathygobius aeolosoma (Ogilby, 1889)",Unnamed: 1,+,+.1
"Bryaninops loki Larson, 1985",,+,+
Callogobius sp. 3,,+,+
Callogobius sp. 6,,+,+
"Eviota albolineata Jewett & Lachner, 1983",,+,+
"Eviota prasina (Klunzinger, 1871)",,,+
"Eviota smaragdus Jordan & Seale, 1906",,,
Eviota sp.,,,+
Eviota sp.,,,+
Eviota sp.,,,
"Favonigobius lateralis (Macleay, 1881)",,+,+
"Fusigobius neophytus (Gunther, 1877)",,+,+
"Gnatholepis inconsequens Whitley, 1958",,+,+
"Istigobius decoratus (Herre, 1927)",,+,+
"Macrodontogobius wilburi Herre, 1936",,+,+
"Paragobiodon lacunicolus (Kendall & Goldsborough,",,+,+
1911),,,
"Paragobiodon modestus (Regan, 1908)",,+,+
"Paragobiodon xanthosomus (Bleeker, 1852)",,+,+
"Pleurosicya mossambica Smith, 1959",,+,+
"Priolepis semidoliatus (Valenciennes, 1837)",,+,
Priolepis sp. 3,,,+
Priolepis sp. 4,,,+
Priolepis sp.,,,
"Valenciennea strigata (Broussonet, 1782)",,+,+
"Vanderhorstia ornatissima Smith, 1959",,+,+
Vanderhorstia sp.,,,
Microdesmidae,,,
"Ptereleotris evides (Jordan & Hubbs, 1925)",,+,+
"Ptereleotris zebra Fowler, 1938",,+,+
Acanthuridae,,,
"Acanthurus blochii Valenciennes, 1835",,+,+
"Acanthurus dussumieri Valenciennes, 1835",,+,+
"Acanthurus nigrofuscus (Forsskal, 1775)",,+,+
"Acanthurus olivaceus Forster, 1801",,+,+
"Acanthurus triostegus (Linnaeus, 1758)",,+,+
"Naso annulatus (Quoy & Gaimard, 1825)",,+,+
"Naso brevirostris (Valenciennes, 1835)",,+,+
"Naso hexacanthus (Bleeker, 1855)",,+,+
"Naso maculatus Randall & Struhsaker, 1981",,,+
"Naso unicornis (Forsskal, 1775)",,+,+
"Prionurus maculatus Ogilby, 1887",,+,+
"Prionurus microlepidotus Lacepede, 1804",,+,+
"orasoma scopas (Cuvler, 1819)",,+,+
Zanclidae,,,
"Zanclus cornutus (Linnaeus, 1758)",,+,+
Siganidae,,,
"Siganus fuscescens (Houttuyn, 1782)",,+,+
Scombridae,,,
"Sarda australis (Macleay, 1881)",,+,?
"Scomber australasicus euvier, 1831",,+,+
Bothidae,,,
"Bothus mancus (Broussonet, 1782)",,+,+
"Bothus myriaster (Temminck & Schlegel, 1846)",,,+
