"~~t/wri~ R.iippeIl,",1821,Unnamed: 2,Unnamed: 3,+,+.1
CroMoritomtnJu lip;,,,,,+
EItffYJKrm>ptJft sp.,,,,,
"~Cln ,ul/.., Gilnther, I""",,,,,
"""--ectidac",,,,,
"l'eltQ#'~Ialw James,",1972,,,,
".C).'II.O!.IossidacI'or""""klgusw wticohw (Macleay,",1811),,,+,+
"A!In'tlfI6othsba~i R.andall A: Metendez,",,1987,,,+
"Asrr~gOfk3nMelNytIItW (Ra-.,r,",,1381),,+,+
"AsnaggoOes ramsaii (OJilby, 1m)",,,,+,+
8&1*idae,,,,,
"BalisJofMs cOl'lSpicillum (Bloch A: Sdtneider,",,18(1),,+,+
"RItiMcanthw tlCUleatus (LinnaeM,",,1758),,+,+
"ltftinecQllthw rectangulus (8loch -': SchMidet"",",,1801),,+,+
"SwjJfumen chrysopterus (Bloch &: Sclmeider,",,18(1),,+,+
"Suf!ltRnenjraenatws (Latreille,",18()4),,,+,+
MOft&canthidae,,,,,
"A/uterw monoceros (Linnaeus,",1758),,,+,+
"BrachalwerestayloriVVoods,I966",,,,+,+
"Cantherhines dumerilii (HoIlard,",1854),,,+,+
"Cantherhines fronticinctus (GuRther,",,1867),,+,+
"Cantherhines pardaJis (RuppeIl,",1837),,,+,+
"Cantheschenia longipinnis (Fraser-Brunner,",,1941),,+,+
Oxymonacaltthus longirostris (Bloch &,,"Schneider, 1801)",,+,+
"Parika scaber (Bloch & Schneider, I",,8(1),,+,
"Pervagor alternans (Ogilby,",1899),,,+,+
"l'ervagor janthinosoma (Bleeker,",1854),,,+,
"Thamnaconus anaUs (Waite,",1904),,,+,+
Ostraciidae,,,,,
"Lactoria cornuta (Linnaeus,",1758),,,+,+
Lactoria diaphana (Bloch &,"Schneider,",1801),,+,+
"Lactoriajornasini (Bianconi,",1846),,,+,+
"Ostracion cubicus Linnaeus,",1758,,,+,+
"Ostracion meleagris Shaw, 1796",,,,+,+
"Tetrosomus concatenatus (Bloch,",1786),,,+,+
Tetraodontidae,,,,,
"Arothron hispidus (Linnaeus,",1758),,,+,+
Arothron meleagris (Bloch &,"Schneider,",1801),,+,+
"Arothron stellatus (Bloch & Schneider,",,1801),,+,+
"Canthigaster bennetti (Bleeker,",1854),,,+,+
"Canthigaster callisterna (Ogilby,",1889),,,+,+
"Canthigaster janthinoptera (Bleeker,",,1855),,+,=F
"Canthigaster valentini (Bleeker,",1853),,,+,+
Tetractenos hamiltoni (Gray &,"Richardson,",1843),,+,+
"Torquigener altipinnis (Ogilby,",1891),,,+,+
"Torquigener pleurogramma (Regan,",,1903),,+,+
Diodontidae,,,,,
"Cyclichthys orbicularis (Bloch,",1785),,,+,+
"Diodon holocanthus Linnaeus,",1758,,,+,+
"Diodon hystrix Linnaeus, 1758",,,,+,+
