"Muraenichthys australis Macleay, 1881",Unnamed: 1,Unnamed: 2,+,Unnamed: 4
"Muraenichthys laticaudatus (Ogilby, 1897)",,,+,+
"Muraenichthys nicholsae Waite, 1904",,,,+
"Myrichthys maculosus (Cuvier, 1817)",,,+,+
Ophichthus sp.,,,,+
Congridae,,,,
"Ariosoma mauritianum (Pappenheim, 1914)",,,+,+
"Conger cinereus Riippell, 1830",,,+,+
"Conger wilsoni (Bloch & Schneider, 1801)",,,+,+
"Gnathophis umbrellabius (Whitley, 1948)",,,+,?
Poeciloconger sp.,,,,
Clupeidae,,,,
"Spratelloides delicatulus (Bennett, 1831)",,,+,
"Spratelloides gracilis (Schlegel, 1846)",,,+,+
Engraulididae,,,,
"Engraulis australis (White, 1790)",,,+,+
Chanidae,,,,
"Chanos chanos (Forsskal, 1775)",,,+,
Gonorynchidae,,,,
"Gonorynchus greyi (Richardson, 1845)",,,+,+
Plotosidae,,,,
"Plotosus lineatus (Thunberg, 1787)",,,+,+
Synodontidae,,,,
"Saurida gracilis (Quoy & Gaimard, 1824)",,,+,+
"Synodus dermatogenys Fowler, 1912",,,+,+
"Synodus doaki Russell & Cressey, 1979",,,+,+
"Synodus houlti McCulloch, 1921",,,+,+
"Synodus similis McCulloch, 1921",,,+,+
"Synodus variegatus (Lacepede, 1803)",,,+,+
"Trachinocephalus myops (Forster, 1801)",,,+,+
Moridae,,,,
"Lotella phycis (Temminck & Schlegel, 1847)",,,+,+
"Lotella rhacinus (Forster, 1801)",,,+,+
Ophidiidae,,,,
"Brotula multibarbata Temminck & Schlegel,",1846.0,,+,+
Carapidae,,,,
"Onuxodonfowleri (Smith, 1955)",,,+,
Bythitidae,,,,
"Dermatopsis macrodon Ogilby, 1896",,,+,
"Diancistrus longifilis Ogilby, 1899",,,+,+
Antennariidae,,,,
"Antennarius coccineus (Lesson, 1830)",,,+,+
"Antennarius commersoni (Latreille, 1804)",,,+,+
"cA-ntennarius-nummifer-(Guvier,I-S-1-71",,,"""""",""",,"
"Antennarius pictus (Shaw & Nodder, 1794)",,,+,+
"Antennarius rosaceus Smith & Radcliffe, 1912",,,,+
"Antennarius striatus (Shaw & Nodder, 1794)",,,+,+
Gobiesocidae,,,,
"Alabes parvulus (McCulloch, 1909)",,,+,
"Conidens samoensis (Steindachner, 1906)",,,,+
"Lepadichthys caritus Briggs, 1969",,,+,+
"Lepadichthysfrenatus Waite, 1904",,,+,+
Undescribed genus and species,,,,+
