"Lethrinus atkinsoni Seale, 1909",Unnamed: 1,Unnamed: 2,+,+.1
"Lethrinus miniatus (Forster, 1801)",,,+,+
"Lethrinus nebu/osus (Forsska1, 1775)",,,+,+
Nemipteridae,,,,
"Se%psis bilineatus (Bloch, 1793)",,,+,+
Mullidae,,,,
"Mul/oidichthysjiavolineatus (Lacepede,",1801),,+,+
"Mul/oidichthys vanico/ensis (Valenciennes,",1831),,+,+
"Parupeneus barberinus (Lacepede, 1801)",,,+,+
"Parupeneus ciliatus (Lacepede, 1801)",,,+,+
"Parupeneus heptacanthus (Lacepede,",1801),,+,+
"Parupeneus mu/tifasciatus (Quay & Gaimard,",1825),,+,+
"Parupeneus p/eurostigma (Bennett, 1830)",,,+,+
"Parupeneus spi/urus (Bleeker, 1854)",,,+,+
"Upeneichthys lineatus (Bloch & Schneider,",1801),,+,
"Upeneusjrancisi Randall & Gueze, 1992",,,,
Monodacty1idae,,,,
"Monodacty/us argenteus (Linnaeus, 1758)",,,+,
Pempherididae,,,,
"Parapriacanthus ransonneti Steindachner,",1870,,+,+
"Pempheris analis Waite, 1910",,,+,+
"Pempheris oua/ensis Cuvier, 1831",,,+,+
"Pempheris vanico/ensis Cuvier, 1831",,,+,+
Girellidae,,,,
"Gire//a cyanea Macleay, 1881",,,+,+
"Gire//a e/evata Mac1eay, 1881",,,+,+
"Gire//ajimbriata (McCulloch, 1920)",,,,
Kyphosidae,,,,
"Kyphosus bigibbus Lacepede, 1801",,,+,+
"Kyphosus cinerascens (Forsskal, 1775)",,,+,+
"Kyphosus sydneyanus (Gunther, 1886)",,,+,+
"Kyphosus vaigiensis (Quoy & Gaimard,",1825),,+,
Microcanthidae,,,,
"Atypichthys latus McCulloch & Waite,",1916,,,+
"Atypichthys strigatus (Gunther, 1860)",,,+,+
"Microcanthus strigatus (Cuvier, 1831)",,,+,+
Scorpididae,,,,
"Bathystethus cu/tratus (Forster, 1801)",,,+,+
"Labracog/ossa nitida McCulloch & Waite,",1916,,+,+
"Scorpis lineo/atus Kner, 1865",,,+,?
"Seorpis vio/aceus (Hutton, 1873)",,,+,+
Ephippididae,,,,
"P/atax teira (Forsskal, 1775)",,,+,
CfiaetodontIdae,,,,
"Amphichaetodon howensis (Waite, 1903)",,,+,+
"Chaetodon auriga Forssk:il, 1775",,,+,+
"Chaetodon bennet Ii Cuvier, 1831",,,+,+
"Chaetodon citrinel/us Cuvier, 1831",,,+,+
"Chaetodonjiavirostris Gunther, 1873",,,+,+
"Chaetodon guentheri Ahl, 1913",,,+,+
"Chaetodon k/einii Bloch, 1790",,,+,+
"Chaetodon lineo/atus Cuvier, 1831",,,+,+
"Chaetodon /unu/a (Lacepede, 1803)",,,+,+
