"PMma polylepis Gunther, 1862",Unnamed: 1,Unnamed: 2,+,+.1
"Plectroglyphidodon dickii (Lienard,",1839),,+,+
Plectroglyphidodonjohnstonianus,"Fowler & Ball,",,+,+
1924,,,,
"PlectroglyphidtJdon lacrymatus (Quoy & Gaimard,",,,+,+
1824),,,,
"Plectroglyphidodon leucozonus (Bleeker,",1859),,+,+
Pomacentrus coelestis Jordan k,"Starks, 1901",,+,+
"Pomacentrus moluccensis Bleeker,",1853,,+,+
"Pomacentrus pavo (Bloch, 1787)",,,+,+
"Stegastes fasciolatus (Ogilby, 1889)",,,+,+
"Stegastes gascoynei (Whitley, 1964)",,,+,+
Teixeirichthys sp.,,,,
Cirrhitidae,,,,
"Cirrhitus pinnulatus (Schneider,",1801),,+,
"Cirrhitus splendens (Ogilby, 1889)",,,+,+
"Paracirrhites arcatus (Cuvier, 1829)",,,+,
"Paracirrhites forsteri (Schneider,",180 I),,+,+
Chironemidae,,,,
"Chironemus marmoratus Gunther,",1860,,+,+
"Chironemus microlepis Waite, 1916",,,,+
Aplodactylidae,,,,
"Aplodactylus etheridgii (Ogilby,",1889),,,+
Cheilodactylidae,,,,
"Cheilodactylus ephippium McCulloch & Waite,",,1916,+,+
"Cheilodactylus fuscus Castelnau,",1879,,+,+
"Cheilodactylus vestitus (Castelnau,",1879),,+,+
"Cheilodactylus villatus Garrett,",1864,,,+
"Nemadactylus douglas;; (Hector,",1875),,+,
"Nemadactylus macropterus (Bloch & Schneider,",,1801),+,
Latrididae,,,,
"Latridopsis ciliaris (Bloch & Schneider,",1801),,+,
Mugilidae,,,,
"Crenimugil crenilabis (Forsskiil,",1775),,+,+
"Mugil cephalus Linnaeus, 1758",,,+,
"Myxus elongatus Gunther, 1861",,,+,+
"Valamugil seheli (Forsskiil, 1775)",,,,
Sphyraenidae,,,,
"Sphyraena acutipinnis Day, 1876",,,+,?
"Sphyraena barracuda (Walbaum,",1792),,+,+
Labridae,,,,
"Anampses caeruleopunctatus Ruppell,",1829,,+,+
"Anampses elegans Ogilby, 1889",,,+,+
"Anampses geographicus Valenciennes,",1840,,+,+
"Anampses neoguinaicus Bleeker,",1878,,+,+
"Bodianus axillaris (Bennett, 1831)",,,+,+
"Bodianus perditio (Quoy & Gaimard,",1834),,+,+
"Bodianus unimaculatus (Gunther,",1862),,+,+
"Cheilinus bimaculatus Valenciennes,",1840,,+,+
"Cheilio inermis (Forsskiil, 1775)",,,+,+
"Choerodonfasciatus (Gunther,",1867),,+,+
"Cirrhilabrus punctatus Randall & Kuiter,",,1989,+,+
