"Coris aygul. Lacepede, 180I",Unnamed: 1,Unnamed: 2,Unnamed: 3,+,+.1
"Coris bulhifroNi Randall & Kuiter, 1982",,,,+,+
"Coris gaimtuJ (Quoy & Gaimard, 1824)",,,,+,+
"Coris picta (-.och & Schneider, 1801)",,,,+,+
"Caris sandageri Phillipps, 19271",,,,+,+
"Cymoluus pr_uxtatus (Quoy .t Gaimard,",,1834),,+,
"CylftOlttus tori/watws (Valenciennes, lMO)",,,,+,+
"GompIto~s varius Lacepede, lSOI",,,,+,+
"Haliclweres margaritaceus (ValencieAMs,",,1839),,+,
"Halicltoerrs Mbu/osus (Valenciennes, li39)",,,,+,+
"Halichoeres trimaculatus (Quoy '"" Gaimant,",,1834),,+,+
"Hemigyrn1tl4s fasciatus (Bloch, 1792)",,,,+,+
"Hemigymlflls melapterus (Bloch, 1791)",,,,+,+
"Hologymnosus doliatus (Lacepede, 11161)",,,,+,+
"Labrichthys unilineatus (Guichenot, 1847)",,,,+,+
"Labroides bic%r Fowler & Bean, 192.",,,,+,+
"Labroides dimidiatus (Valenciennes, 1839)",,,,+,+
"Labropsis australis Randall, 1981",,,,+,+
"Macropharyngodon meleagris (Valenciennes,",,1839),,+,+
"Notolabrus gymnogenis (Gunther, 1%2)",,,,+,+
"Notolabrus ilfscriptus (Richardson, 1848)",,,,+,+
"Novaculichthys macrolepidotus (Bloch, 1791)",,,,+,+
"Novaculichthys taeniourus (Lacepede, 1801)",,,,+,+
Novaculops sp.,,,,,+
"Pseudocheilinus hexataenia (Bleeker, 1857)",,,,+,+
"Pseudocoris yamashiroi (Schmidt, 1930)",,,,+,
"Pseudojuloides cerasinus (Snyder, 19(4)",,,,+,+
"Pseudojuloides elongatus Ayling & Russell,",,1977,,+,
"Pseudolabrus luculentus (Richardson, 1848)",,,,+,+
"Stethojulis bandanensis (Bleeker, 1851)",,,,+,+
"Stethojulis interrupta (Bleeker, 1851)",,,,+,+
"Stethojulis maculatus Schmidt, 1930",,,,,
"Suezichthys arquatus Russell, 1985",,,,+,+
"Suezichthys aylingi Russell, 1985",,,,+,
"Thalassoma amblycephalum (Bleeker, 1856)",,,,+,+
"Thalassoma hardwicke (Bennett, 1828)",,,,+,+
"Thalassomajansenii (Bleeker, 1856)",,,,+,+
"Thalassoma lunare (Linnaeus, 1758)",,,,+,+
"Thalassoma lutescens (Lay & Bennett, 1839)",,,,+,+
"Thalassoma purpureum (Forsskal, 1775)",,,,+,+
"Thalassoma quinquevittatum (Lay & Bennett,",,1839),,+,+
"Thalassoma trilobatum (Lacepede, 1801)",,,,+,+
"Xyrichtys aneitensis (Gunther, 1862)",,,,+,+
--oryrichtysjacksonens~-(R~nrsa~t882),,,,+,+
"Xyrichtys pavo Valenciennes, 1840",,,,+,+
Scaridae,,,,,
"Leptoscarus vaigiensis (Quoy & Gaimard,",,1824),,+,+
"Scarus altipinnis (Steindachner, 1879)",,,,+,+
"Scarus chameleon Choat & Randall, 1986",,,,+,+
"Scarus frenatus Lacepede, 1802",,,,+,+
"Scarus ghobban Forsskal, 1775",,,,+,+
"Scarus globiceps Valenciennes, 1840",,,,+,+
"Scarus longipinnis Randall & Choat, 1980",,,,+,+
