0,1,2,3,4,5,6,7
DASYATIDIDAE,Unnamed: 1,,,,,,
Dasyatis brevicaudata Trion.,1875),,,,,,
"[limantura uarnak (Forsskal, 1775)",,,,,,,
MYLIOBATIDIDAE,Unnamed: 1,Unnamed: 2,,,,,
"Aetobatus narinart (Euphrasen, 1790)",,,,,,,
MOBULIDAE,,,,,,,
"Manta birostris (Donndorff, 1798)",,,,,,,
RHINOBATIDAE,,,,,,,
"Rhynchobatus djiddensis (Forsskal,",1775),,,,,,
CARCHARITINIDAE,,,,,,,
Carcharhinus brevipinna (Midler,"and Tene,",1839),,,,,
"Galeocerdo cuvier (Péron and Lesueur,",1822),,,,,,
"Rhizoprionodon acutus (Rippell,",1837),,,,,,
ORECTOLOBIDAE,,,,,,,
Chiloscyllaon punctaion Midler,"and Henle,",1838,,,,,
"Orectolobus ornatus (De Vis, 1883)",,,,,,,
RHINCODONTIDAE,,,,,,,
"Rhincodon typus (Srith, 1828)",,,,,,,
MURAENIDAE,,,,,,,
"Gymmnothorax eurostus (Abbot, 1861)",,,,,,,
"G. prasinus (Richardson, 1848)",,,,,,,
"G. undulatus (Lacepede, 1803)",,,,,,,
"Siderea thyroideus (Richardson, 1815)",,,,,,,
CLUPEIDAE,,,,,,,
Hlerklotsichthys quadrimaculatus,"(Riippell, 1837)",,,,,,
"Sardinella gibbosa (Bleecker, 18:19)",,,,,,,
"Spratelloides robustus Ogilby, 1897",,,,,,,
PLOVOSIDAE,,,,,,,
"Paraplotosus albilabris (Valenciennes,",1810),,,,,,
"Plotosus lineatus (Vhunberg, 1791)",,,,,,,
SYNODONTIDAE,,,,,,,
"Synodus variegatus (Lacepede, 1803)",,,,,,,
BATRACHOIDIDAE,,,,,,,
"Halophryne diemensis (Lesucur,",182-1),,,,,,
AN'TENNARIDAE,,,,,,,
"Antennarius niummifer (Cuvier, 1817)",,,,,,,
BY THFTIDAE,,,,,,,
"Dipulus caecus Waite, 1905",,,,,,,
ATHERINIDAE,,,,,,,
"Allanetta mugiloides (McCulloch,",1912),,,,,,
"Atherinomorus ogibyt (Whitley,",1930),,,,,,
"Craterocephalus pauciradiatus (Giinther,",1861),,,,,,
HOLOCENTRIDAL,,,,,,,
"Myripristis murdjan (Forsskal, 1775)",,,,,,,
"Sargocentvon rubriam (Forsskal, 1775)",,,,,,,
FISPULARIDAE,,,,,,,
"Fistidaria comimersonii Riippell,",1838,,,,,,
SYNGNATHIDAE,,,,,,,
"Festucalex scalaris (Giimther, 1870)",,,,,,,
"Halicampus brocki (Uerald, 1953)",,,,,,,
[hippocampus species,,,,,,,
SCORPAENIDAE,Unnamed: 1,Unnamed: 2,,,,,
"Dendrochirus zebra (Cuvier, 1829)",,,,,,,
"Plerois volitans (Linnaeus, 1758)",,,,,,,
"Scorpaena picta Kuhl and van Hasselt, 1829",,,,,,,
Scorpaena species,,,,,,,
