Family/ Species,Common name,Habitat,Unnamed: 1
CLASS CHONDRICHTHYES,,,
ORDER ORECTOLOBIFORMES,,,
Family Hemiscyllidae,Bamboo sharks,Pelagic,
Chiloscyllium indicum (Gmelin),,,
Chiloscyllium griseum Muller and Henle,,,
Family Stegostomatidae,Zebra sharks,Pelagic,
Stegostoma fasciatum (Hermann),,,
Family Rhincodontidae,Whale sharks,Pelagic,
Rhincodon typus Smith,,,
Order Carcharhiniformes,,,
Family Proscylliidae,Finback catsharks,Pelagic,
Eridancis radcliffei Smith,,,
,,Oceanic/Pelagic/semi,
Family Carcharhinidae,Requim sharks,,
,,pelagic/ littoral,
Carcharhinus dussumieri (Valenciennes),,,
Carcharhinus hemiodon (Valenciennes),,,
Carcharhinus leucas (Valenciennes),,,
Carcharhinus melanopterus (Quoy and Gaimard),,,
Carcharhinus limbatus (Valenciennes),,,
Glyphis gangeticus (Muller and Henle),,,
Lamiopsis temmincki (Muller and Henle),,,
Rhizoprionodon acutus (Ruppell),,,
Scoliodon laticaudus (Muller and Henle),,,
,,Semi pelagic and lit-,
Family Sphyrnidae,Hammerhead sharks,,
,,toral,
Eusphyrna blochii (Cuvier),,,
Order Rajiformes,,,
Family Pristidae,Sawfishes,Demersal,
Anoxypristes cuspidata (Latham),,,
Pristis microdon Latham,,,
Pristis pectinata Latham,,,
,,Benthic and semi,
Family Torpedinidae,Electric Rays,,
,,pelagic,
Bengalichthyes impennis Annandale,,,
Narke dipterygia (Schneider),,,
Narcine timlei (Schneider),,,
Narcine brunnea Annandale,,,
Family Rhinobatidae,Guitar fishes,Demersal,
Rhina ancylostoma Schneider,,,
Rhina grannulatus Cuvier,,,
Rhina lionotus Norman,,,
Rhinobatos obtusus Muller and Henle,,,
Rhinobatos annandalei Norman,,,
Rhynchobatus djeddensis (Forsskal),,,
Family Dasyatidae,Sting Rays,Demersal,
Dasyatis microps (Annandale),,,
Himantura bleekeri (Blyth),,,
Himantura fluviatilis (Hamilton-Buchanan),,,
Himantura marginata (Blyth),,,
Dasyatus zugei (Muller and Henle),,,
Himantura imbricata (Schneider),,,
Himantura uarnak (Forsskal),,,
Family Gymnuridae,Butterfly Rays,Demersal,
Aetoplatea tentaculata (Valenciennes),,,
Gymnura (Gymnura) poecilura (Shaw),,,
,,Benthic littoral and,
Family Myliobatidae,Eagle Rays,,
,,semi pelagic,
Aetobatus narinari (Blainville),,,
Aetomylaeus nichofii (Schneider),,,
CLASS: ACTINOPTERYGII,,,
Family Elopidae,Lady fishes,Pelagic,
Elops machnata (Forsskal),,,
Family Megalopidae,Tarpons,Demersal/Pelagic,
Megalops cyprinoides (Broussonet),,,
Family Anguillidae,Freshwater Eels,Demersal,
Anguilla bengalensis bengalensis (Gray),,,
Angilla bicolor bicolor Mc Clelland,,,
Family Moriguidae,Worm Eels,Demersal,
Moringua arundinacea (Mc Clelland),,,
Moringua raitaborua (Hamilton-Buchanan),,,
Family Muraenidae,Moray Eels,Demersal,
Sideria picta (Ahl),,,
Thyrsoidea macrura (Bleeker),,,
Uropterygius tigrinus (Lesson),,,
Echidna nebulosa (Ahl),,,
Echidna zebra (Shaw),,,
Gymnothorax meleagris (Shaw and Nodder),,,
Gynothorax sathete (Hamilton-Buchanan),,,
Gymnothorax tile (Hamilton-Buchanan),,,
Leptocephalus milnei Southwell and Prasad,,,
