Order: Family and scientific name
Perciformes: Nandidae
"Nandus nandus (Hamilton, 1822)"
Badidae
"Badis badis (Hamilton, 1822)"
Channidae
"Channa barca (Hamilton, 1822)"
"Channa marulius (Hamilton, 1822)"
Channa gachua
"(Hamilton, 1822)"
"Channa punctata (Bloch, 1793)"
"Channa striata (Bloch, 1793)"
Gobiidae
"Apocryptes bato (Hamilton, 1822)"
"Boleophthalmus boddarti (Pallas, 1770)"
"Glossogobius giuris (Hamilton, 1822)"
"Gobiopterus chuno (Hamilton, 1822)"
"Stigmatogobius sadanundio (Hamilton,"
1822)
Scatophagidae
"Scatophagus argus (Linnaeus, 1766)"
Teraponidae
"Terapon jarbua (Forsskal, 1775)"
Synbranchiformes: Mastacembelidae
"Mastacembelus armatus (Lacepede,"
1800)
Macrognathus aral
"(Bloch & Schneider, 1801)"
Macrognathus pancalus
"(Hamilton, 1822)"
Synbranchidae
"Monopterus cuchia (Hamilton, 1822)"
Clupeiformes: Clupeidae
"Gonialosa manmina (Hamilton, 1822)"
"Gudusia chapra (Hamilton, 1822)"
Osteoglossiformes: Notopteridae
"Chitala chitala (Hamilton, 1822)"
"Notopterus notopterus (Pallas, 1769)"
Tetraodontiformes: Tetraodontidae
"Leiodon cutcutia (Hamilton, 1822)"
"Dichotomyctere fluviatilis (Hamilton,"
1822)
Cyprinodontiformes: Aplocheilidae
Aplocheilus panchax
"(Hamilton, 1822)"
Cypriniformes: Cyprinidae
Amblypharyngodon mola
"(Hamilton, 1822)"
Bengala elanga
"(Hamilton, 1822)"
"Catla catla (Hamilton, 1822)"
"Chela cachius (Hamilton, 1822)"
"Cirrhinus mrigala (Hamilton, 1822)"
"Danio rerio (Hamilton, 1822)"
"Devario devario (Hamilton, 1822)"
"Esomus danricus (Hamilton, 1822)"
"Labeo bata (Hamilton, 1822)"
"Labeo calbasu (Hamilton, 1822)"
"Labeo rohita (Hamilton, 1822)"
"Laubuka laubuca (Hamilton, 1822)"
"Puntius chola (Hamilton, 1822)"
"Pethia conchonius (Hamilton, 1822)"
"Pethia gelius (Hamilton, 1822)"
"Pethia phutunio (Hamilton, 1822)"
"Pethia ticto (Hamilton, 1822)"
"Puntius sophore (Hamilton, 1822)"
"Puntius terio (Hamilton, 1822)"
Rasbora daniconius
"(Hamilton, 1822)"
"Salmostoma acinaces (Valenciennes,"
1844)
Salmostoma bacaila
"(Hamilton, 1822)"
"Salmostoma phulo (Hamilton, 1822)"
"Securicula gora (Hamilton, 1822)"
"Systomus sarana (Hamilton, 1822)"
Cobitidae
"Lepidocephalichthys guntea (Hamilton,"
1822)
Perciformes: Ambassidae
"Chanda nama (Hamilton, 1822)"
"Parambassis lala (Hamilton, 1822)"
"Parambassis ranga (Hamilton, 1822)"
Anabantidae
"Anabas testudineus (Bloch, 1792)"
Osphronemidae
"Trichogaster fasciata (Bloch & Schneider,"
1801)
"Trichogaster lalius (Hamilton, 1822)"
"Trichogaster chuna (Hamilton, 1822)"
Beloniformes: Belonidae
"Xenentodon cancila (Hamilton, 1822)"
Siluriformes: Bagridae
"Mystus cavasius (Hamilton, 1822)"
"Mystus gulio (Hamilton, 1822)"
"Mystus tengara (Hamilton, 1822)"
"Mystus vittatus (Bloch, 1794)"
"Sperata aor (Hamilton, 1822)"
"Sperata seenghala (Sykes, 1839)"
Siluridae
"Ompok bimaculatus (Bloch, 1794)"
"Ompok pabda (Hamilton, 1822)"
"Wallago attu (Bloch & Schneider, 1801)"
Schilbeidae
"Ailia coila (Hamilton, 1822)"
"Clupisoma garua (Hamilton, 1822)"
Eutropiichthys vacha
"(Hamilton, 1822)"
"Pachypterus atherinoides (Bloch, 1794)"
"Silonia silondia (Hamilton, 1822)"
Pangasiidae
Pangasius pangasius
"(Hamilton, 1822)"
Sisoridae
"Bagarius bagarius (Hamilton, 1822)"
"Gagata cenia (Hamilton, 1822)"
"Gagata gagata (Hamilton, 1822)"
Glyptothorax telchitta
"(Hamilton, 1822)"
Gogangra viridescens
"(Hamilton, 1822)"
Heteropneustidae
"Heteropneustes fossilis (Bloch, 1794)"
Clariidae
"Clarias magur (Hamilton, 1822)"
Anguilliformes: Anguillidae
"Anguilla bengalensis (Gray, 1831)"
Ophichthidae
"Pisodonophis boro (Hamilton, 1822)"
Syngnathiformes: Syngnathidae
"Microphis deocata (Hamilton, 1822)"
