OBJECTID,Name,X,Y
1,NR1,119.8972397,8.8869839
2,NR1,119.895607,8.88589
3,NR1,119.8936844,8.8859472
4,NR1,119.8915329,8.8828955
5,NR2,119.9127808,8.8421583
6,NR5,120.0078659,8.9249907
7,NR5,120.0114441,8.9252853
8,SR3,119.8367233,8.7946739
9,SR3,119.8389511,8.7960358
10,SR3,119.8415985,8.7976599
11,SR1,119.828537,8.7498894
12,SR1,119.828476,8.7466698
13,SR1,119.8284378,8.7435179
14,SR1,119.8138199,8.74154
15,SR1,119.8179245,8.7397289
16,SR1,119.8227158,8.7401381
17,SR4,119.8132629,8.8089218
18,SR4,119.8096848,8.8086977
19,SR4,119.8073425,8.8081799
20,NR2,119.9212036,8.8430462
21,JessieBeazley,119.8140488,9.0469332
22,Bastera,119.2925568,8.1049461
